Country,Club
China PR,Shandong Luneng
China PR,Shanghai Shenhua
China PR,Dalian YiFang FC
China PR,Shanghai SIPG
China PR,Shenzhen Kaisa
China PR,Shijiazhuang
China PR,Shenzhen FC
China PR,Tianjin TEDA
China PR,Wuhan Zall
Colombia,Junior FC
Colombia,Millonarios FC
Colombia,Independiente Santa Fe
Colombia,Unión Magdalena
Colombia,Once Caldas
Colombia,La Equidad
Colombia,Independiente Medellín
Colombia,Deportivo Cali
Colombia,Atlético Nacional
Colombia,Cúcuta Deportivo
Colombia,Jaguares de Córdoba
Colombia,Atlético Bucaramanga
Colombia,Rionegro Águilas
Colombia,Envigado FC
Colombia,Deportivo Pasto
Colombia,Deportes Tolima
Colombia,Alianza Petrolera
Denmark,Hobro IK
Denmark,Aalborg BK
Denmark,Aarhus GF
Denmark,AC Horsens
Denmark,Brøndby IF
Denmark,FC København
Denmark,FC Midtjylland
Denmark,Silkeborg IF
Denmark,FC Nordsjælland
Denmark,Lyngby BK
Denmark,Odense BK
Denmark,Randers FC
Denmark,Odense Boldklub
Denmark,Esbjerg fB
Denmark,SønderjyskE
Denmark,Vejle Boldklub
United Kingdom,Arsenal
United Kingdom,Aston Villa
United Kingdom,Brighton
United Kingdom,Burnley
United Kingdom,Chelsea
United Kingdom,Sheffield Wednesday
United Kingdom,Crystal Palace
United Kingdom,Sheffield United
United Kingdom,Everton
United Kingdom,Fulham
United Kingdom,Leeds United
United Kingdom,Leicester City
United Kingdom,Liverpool
United Kingdom,Manchester City
United Kingdom,Manchester Utd
United Kingdom,Newcastle Utd
United Kingdom,West Ham United
United Kingdom,Sheffield Utd
United Kingdom,Milton Keynes Dons
United Kingdom,Southampton
United Kingdom,Spurs
United Kingdom,West Brom
United Kingdom,West Ham United
United Kingdom,Wolves
United Kingdom,AFC Bournemouth
United Kingdom,Barnsley
United Kingdom,Birmingham City
United Kingdom,Blackburn Rovers
United Kingdom,Bolton Wanderers
United Kingdom,Brentford
United Kingdom,West Bromwich Albion
United Kingdom,Bristol City
United Kingdom,Cardiff City
United Kingdom,Coventry City
United Kingdom,Derby County
United Kingdom,Huddersfield
United Kingdom,Luton Town
United Kingdom,Middlesbrough
United Kingdom,Millwall
United Kingdom,Nottingham Forest
United Kingdom,Norwich
United Kingdom,Nott'm Forest
United Kingdom,Peterborough United
United Kingdom,Norwich City
United Kingdom,Preston
United Kingdom,QPR
United Kingdom,Reading
United Kingdom,Ipswich Town
United Kingdom,Huddersfield Town
United Kingdom,Rotherham United
United Kingdom,Rotherham Utd
United Kingdom,Sheffield Wed
United Kingdom,Stoke City
United Kingdom,Swansea City
United Kingdom,Watford
United Kingdom,Wycombe
United Kingdom,Accrington Stanley
United Kingdom,AFC Wimbledon
United Kingdom,Blackpool
United Kingdom,Wycombe Wanderers
United Kingdom,Northampton Town
United Kingdom,Bristol Rovers
United Kingdom,Burton Albion
United Kingdom,Wolverhampton Wanderers
United Kingdom,Charlton Ath
United Kingdom,Crewe Alexandra
United Kingdom,Doncaster
United Kingdom,Fleetwood Town
United Kingdom,Gillingham
United Kingdom,Hull City
United Kingdom,Ipswich
United Kingdom,Lincoln City
United Kingdom,Newcastle United
United Kingdom,Montreal Impact
United Kingdom,New England Revolution
United Kingdom,MK Dons
United Kingdom,Northampton
United Kingdom,Oxford United
United Kingdom,Peterborough
United Kingdom,Plymouth Argyle
United Kingdom,Portsmouth
United Kingdom,Rochdale
United Kingdom,Shrewsbury
United Kingdom,Cambridge United
United Kingdom,Macclesfield Town
United Kingdom,Manchester United
United Kingdom,Queens Park Rangers
United Kingdom,Brighton & Hove Albion
United Kingdom,Sunderland
United Kingdom,Bournemouth
United Kingdom,Swindon Town
United Kingdom,Wigan Athletic
United Kingdom,Barrow
United Kingdom,Bolton
United Kingdom,Scunthorpe United
United Kingdom,Bradford City
United Kingdom,Tottenham Hotspur
United Kingdom,Cambridge Utd
United Kingdom,Carlisle United
United Kingdom,Charlton Athletic
United Kingdom,Cheltenham Town
United Kingdom,Colchester
United Kingdom,Crawley Town
United Kingdom,Exeter City
United Kingdom,Forest Green
United Kingdom,Grimsby Town
United Kingdom,Harrogate Town
United Kingdom,Leyton Orient
United Kingdom,Mansfield Town
United Kingdom,Morecambe
United Kingdom,Preston North End
United Kingdom,Newport County
United Kingdom,Doncaster Rovers
United Kingdom,Oldham Athletic
United Kingdom,Forest Green Rovers
United Kingdom,Port Vale
United Kingdom,Colchester United
United Kingdom,Salford City
United Kingdom,Scunthorpe Utd
United Kingdom,Southend United
United Kingdom,Stevenage
United Kingdom,Tranmere Rovers
United Kingdom,Walsall
France,Angers SCO
France,Paris Saint-Germain
France,AS Monaco
France,ASSE
France,Bordeaux
France,Valenciennes FC
France,Dijon FCO
France,FC Lorient
France,FC Metz
France,FC Nantes
France,Grenoble Foot 38
France,LOSC
France,Le Mans FC
France,Montpellier
France,Olympique Lyonnais
France,Nîmes Olympique
France,OGC Nice
France,OL
France,OM
France,Paris SG
France,RC Lens
France,Rennes
France,Stade Brestois 29
France,Stade Rennais FC
France,Stade de Reims
France,Strasbourg
France,Le Havre AC
France,AC Ajaccio
France,AJ Auxerre
France,Racing Club de Lens
France,Olympique de Marseille
France,Amiens SC
France,Stade Malherbe Caen
France,Châteauroux
France,Clermont
France,EA Guingamp
France,FC Chambly
France,RC Strasbourg Alsace
France,En Avant de Guingamp
France,Montpellier HSC
France,FCSM
France,Grenoble
France,Havre AC
France,Clermont Foot 63
France,LOSC Lille
France,FC Sochaux-Montbéliard
France,AS Nancy Lorraine
France,Toulouse Football Club
France,Niort
France,Chamois Niortais Football Club
France,ESTAC Troyes
France,La Berrichonne de Châteauroux
France,Paris FC
France,Pau FC
France,Rodez AF
France,SM Caen
France,Toulouse FC
France,Troyes
France,USL Dunkerque
France,VAFC
France,AS Saint-Étienne
Greece,Panathinaikos FC
Germany,1. FC Köln
Germany,1. FSV Mainz 05
Germany,Bielefeld
Germany,FC Girondins de Bordeaux
Austria,FC Red Bull Salzburg
Germany,FC Ingolstadt 04
Germany,FC Hansa Rostock
Germany,FC Erzgebirge Aue
Germany,VfL Bochum 1848
Germany,FC Carl Zeiss Jena
Germany,FC Bayern München
Germany,SV Werder Bremen
Germany,Dortmund
Germany,Borussia Dortmund
Germany,KFC Uerdingen 05
Germany,FC Augsburg
Germany,FC Bayern
Germany,FC Schalke 04
Germany,SV Wehen Wiesbaden
Germany,Borussia Mönchengladbach
Germany,SC Preußen Münster
Germany,Hertha BSC
Germany,Frankfurt
Germany,TSG 1899 Hoffenheim
Germany,Hertha Berlin
Germany,Bayer 04 Leverkusen
Germany,Fortuna Düsseldorf
Germany,SpVgg Unterhaching
Germany,M'gladbach
Germany,RB Leipzig
Germany,SC Freiburg
Germany,1. FC Union Berlin
Germany,VfB Stuttgart
Germany,VfL Wolfsburg
Germany,SpVgg Greuther Fürth
Germany,SV Werder Bremen
Germany,1. FC Heidenheim 1846
Germany,1. FC Nürnberg
Germany,Braunschweig
Germany,Düsseldorf
Germany,Erzgebirge Aue
Germany,FC St. Pauli
Germany,Greuther Fürth
Germany,SG Dynamo Dresden
Germany,Hamburger SV
Germany,Hannover 96
Germany,Holstein Kiel
Germany,SSV Jahn Regensburg
Germany,Karlsruher SC
Germany,SC Paderborn 07
Germany,SG Sonnenhof Großaspach
Germany,SV Darmstadt 98
Germany,SV Sandhausen
Germany,VfL Bochum
Germany,VfL Osnabrück
Germany,Würzburg
Germany,1. FC Magdeburg
Germany,1860 München
Germany,Dynamo Dresden
Germany,Eintracht Frankfurt
Germany,Eintracht Braunschweig
Germany,DSC Arminia Bielefeld
Germany,FC Bayern II
Germany,FC Ingolstadt
Germany,FSV Zwickau
Germany,Haching
Germany,Hallescher FC
Germany,Hansa Rostock
Germany,1. FC Kaiserslautern
Germany,KFC Uerdingen
Germany,MSV Duisburg
Germany,Saarbrücken
Germany,SC Verl
Germany,SV Meppen
Germany,SV Waldhof
Germany,SVWW
Germany,Türkgücü
Germany,VfB Lübeck
Germany,Viktoria Köln
Ireland,Bohemian FC
Ireland,Cork City
Ireland,Derry City
Ireland,Dundalk
Ireland,Finn Harps
Ireland,Shamrock Rovers
Ireland,St. Patrick's Athletic
Ireland,Shelbourne
Ireland,Sligo Rovers
Ireland,St. Pats
Ireland,Waterford FC
Italy,Atalanta
Italy,Perugia
Italy,Pescara
Italy,Virtus Entella
Italy,Livorno
Italy,Benevento
Italy,Bologna
Italy,Cagliari
Italy,Crotone
Italy,Fiorentina
Italy,Cosenza
Italy,Juventus
Italy,Pisa
Italy,Pordenone
Italy,Genoa
Italy,Hellas Verona
Italy,Inter
Italy,La Spezial
Italy,Lazio
Italy,Milan
Italy,Napoli
Italy,Parma
Italy,Venezia FC
Italy,Piemonte Calcio
Italy,Frosinone
Italy,US Cremonese
Italy,Roma
Italy,Sampdoria
Italy,Sassuolo
Italy,US Salernitana 1919
Italy,Spezia
Italy,Torino
Italy,Trapani
Italy,Ascoli
Italy,Udinese
Japan,Cerezo Osaka
Japan,F.C. Tokyo
Japan,Gamba Osaka
Japan,H.Consa.Sapporo
Japan,Kashima Antlers
Japan,Kashima Reysol
Japan,Kawasaki-F
Japan,Nagoya Grampus
Japan,Oita Trinita
Japan,S-Hiroshima
Japan,Sagan Tosu
Japan,Shimizu S-Pulse
Japan,Shonan Bellmare
Japan,Urawa Reds
Japan,Vegalta Sendai
Japan,Vissel Kobe
Japan,Sanfrecce Hiroshima
Japan,Yokohama F･M
Japan,Yokohama FC
Korea Republic,Busan IPark
Korea Republic,Daegu FC
Korea Republic,Suwon Samsung Bluewings
Korea Republic,FC Seoul
Korea Republic,Ulsan Hyundai FC
Korea Republic,Gangwon FC
Korea Republic,GwangJu FC
Korea Republic,Incheon United
Korea Republic,Jeonbuk Hyundai
Korea Republic,Pohang Steelers
Korea Republic,Sangju Sangmu
Korea Republic,Sangju Sangmu FC
Korea Republic,Seongnam FC
Korea Republic,Suwon Samsung
Korea Republic,Ulsan Hyundai
Netherlands,ADO Den Haag
Netherlands,Ajax
Netherlands,AZ Alkmaar
Netherlands,FC Emmen
Netherlands,FC Groningen
Netherlands,FC Twente
Netherlands,FC Utrecht
Netherlands,Feyenoord
Netherlands,Fortuna Sittard
Netherlands,Heracles Almelo
Netherlands,PEC Zwolle
Netherlands,PSV
Netherlands,RKC Waalwijk
Netherlands,SC Heerenveen
Netherlands,Sparta Rotterdam
Netherlands,Vitesse
Netherlands,VVV-Venlo
Netherlands,Willem II
Norway,Lillestrøm SK
Norway,Tromsø IL
Norway,Aalesunds FK
Norway,FK Bodø/Glimt
Norway,FK Haugesund
Norway,IK Start
Norway,Kristiansund
Norway,Mjøndalen IF
Norway,Molde FK
Norway,Odds BK
Norway,Sarpsborg 08 FF
Norway,Rosenborg BK
Norway,Sandefjord
Norway,Sarpsborg 08
Norway,SK Brann
Norway,Stabæk Fotball
Norway,Strømsgodset IF
Norway,Vålerenga Fotball
Norway,Viking FK
Paraguay,Paraguay
Peru,Peru
Poland,Cracovia
Poland,Górnik Zabrze
Poland,Jagiellonia
Poland,Korona Kielce
Poland,Lech Poznań
Poland,Lechia Gdańsk
Poland,Legia Warszawa
Poland,PGE Stal Mielec
Poland,Piast Gliwice
Poland,Podbeskidzie
Poland,Pogoń Szczecin
Poland,Raków Częstochowa
Poland,Śląsk Wrocław
Poland,Warta Poznań
Poland,Wisła Kraków
Poland,Jagiellonia Białystok
Poland,Wisła Płock
Poland,Zagłębie Lubin
Poland,Arka Gdynia
Portugal,Belenenses
Portugal,Vitória de Setúbal
Portugal,Boavista FC
Portugal,Vitória Guimarães
Portugal,CD Tondela
Portugal,Farense
Portugal,FC Famalicão
Portugal,FC Porto
Portugal,Gil Vicente
Portugal,Marítimo
Portugal,Moreirense FC
Portugal,Nacional
Portugal,Paços Ferreira
Portugal,Portimonense SC
Portugal,Famalicão
Portugal,Rio Ave FC
Portugal,Santa Clara
Portugal,SC Braga
Portugal,SL Benfica
Portugal,CD Aves
Portugal,Clube Sport Marítimo
Portugal,Os Belenenses
Portugal,Sporting CP
Portugal,V. Guimarães
Italy,AC Monza
Greece,AEK Athens
Arab Emirates,Al Ain FC
Italy,Brescia
Italy,Chievo Verona
Russia,CSKA Moscow
Russia,Torpedo Moscow
Croatia,Dinamo Zagreb
Ukraine ,Dynamo Kyiv
Italy,Empoli
Finland,HJK Helsinki
South Africa,Kaizer Chiefs
Italy,Lecce
Russia,Lokomotiv Moscow
Greece,Olympiacos CFP
South Africa,Orlando Pirates
Greece,Panathinaikos
Greece,PAOK
Ukraine ,Shakhtar Donetsk
Czech Republic,Slavia Praha
Czech Republic,Sparta Praha
Russia,Spartak Moscow
Italy,SPAL
Czech Republic,Viktoria Plzeň
United Kingdom,Soccer Aid
United Kingdom,adidas All-Star
United Kingdom,MLS All Stars
Mexico,Monterrey
Mexico,Monarcas Morelia
Mexico,América
Mexico,Atlas
Mexico,Atlético de San Luis
Mexico,Cruz Azul
Mexico,Club América
Mexico,Deportivo Toluca
Mexico,FC Juárez
Mexico,U.N.A.M.
Mexico,Guadalajara
Mexico,León
Mexico,Mazatlán FC
Mexico,Necaxa
Mexico,Pachuca
Mexico,Puebla FC
Mexico,Puebla
Mexico,Pumas
Mexico,Querétaro
Mexico,Rayados
Mexico,Club Atlas
Mexico,Santos Laguna
Mexico,Club Tijuana
Mexico,Tiburones Rojos de Veracruz
Mexico,Tigres U.A.N.L.
Mexico,Tiburones Rojos de Veracruz
Mexico,Club Necaxa
Mexico,Tijuana
Mexico,Club León
Mexico,Toluca
Romania,Academica
Romania,Astra Giurgiu
Romania,CFR 1907 Cluj
Romania,Chindia
Romania,FC Argeș
Romania,FC Botoşani
Romania,FC Dinamo 1948
Romania,FC Hermannstadt
Romania,FC Viitorul
Romania,FC Voluntari
Romania,FCSB
Romania,Gaz Metan Mediaș
Romania,Politehnica Iaşi
Romania,Sepsi OSK
Romania,Univ. Craiova
Romania,UTA Arad
Russia,PFC CSKA Moscow
Saudi Arabia,Abha Club
Saudi Arabia,Al Adalah
Saudi Arabia,Al Ahli
Saudi Arabia,Al Faisaly
Saudi Arabia,Al Fateh
Saudi Arabia,Al Fayha
Saudi Arabia,Al Hazem
Saudi Arabia,Al Hilal
Saudi Arabia,Al Ittihad
Saudi Arabia,Al Nassr
Saudi Arabia,Al Raed
Saudi Arabia,Al Shabab
Saudi Arabia,Al Taawoun
Saudi Arabia,Al Wehda
Saudi Arabia,Damac FC
Saudi Arabia,Ettifaq FC
United Kingdom,Aberdeen
United Kingdom,Livingston FC
United Kingdom,Celtic
United Kingdom,St. Johnstone FC
United Kingdom,Dundee United
United Kingdom,Hamilton
United Kingdom,Hibernian
United Kingdom,Kilmarnock
United Kingdom,Livingston
United Kingdom,Heart of Midlothian
United Kingdom,Hamilton Academical FC
United Kingdom,Motherwell
United Kingdom,Rangers
United Kingdom,Rangers FC
United Kingdom,Ross County
United Kingdom,St. Johnstone
United Kingdom,St. Mirren
Spain,Athletic Club
Spain,Atlético de Madrid
Spain,CA Osasuna
Spain,Cádiz CF
Spain,D. Alavés
Spain,Elche CF
Spain,FC Barcelona
Spain,Getafe CF
Spain,Granada CF
Spain,Levante UD
Spain,R. Valladolid CF
Spain,RC Celta
Spain,Real Betis
Spain,Real Madrid
Spain,Real Sociedad
Spain,SD Eibar
Spain,SD Huesca
Spain,Sevilla FC
Spain,Valencia CF
Spain,Villarreal CF
Spain,AD Alcorcón
Spain,Albacete BP
Spain,Racing Santander
Spain,CD Castellón
Spain,CD Leganés
Spain,CD Numancia
Spain,CD Lugo
Spain,Atlético Madrid
Spain,CD Mirandés
Spain,CD Tenerife
Spain,CE Sabadell
Spain,Real Sporting de Gijón
Spain,Real Zaragoza
Spain,CF Fuenlabrada
Spain,FC Cartagena
Spain,Deportivo de La Coruña
Spain,Girona FC
Spain,Real Valladolid CF
Spain,Málaga CF
Spain,Extremadura UD
Spain,Deportivo Alavés
Spain,R. Oviedo
Spain,R. Sporting
Spain,R. Zaragoza
Spain,Rayo Vallecano
Spain,RCD Espanyol
Spain,RCD Mallorca
Spain,SD Ponferradina
Spain,UD Almería
Spain,Athletic Club de Bilbao
Spain,UD Las Palmas
Spain,UD Logroñés
Sweden,AIK
Sweden,BK Häcken
Sweden,Djurgårdens IF
Sweden,Falkenbergs FF
Sweden,Hammarby IF
Sweden,Helsingborgs IF
Sweden,IF Elfsborg
Sweden,IFK Göteborg
Sweden,IFK Norrköping
Sweden,IK Sirius
Sweden,Kalmar FF
Sweden,Malmö FF
Sweden,Mjällby AIF
Sweden,Örebro SK
Sweden,Östersunds FK
Sweden,AFC Eskilstuna
Sweden,Varbergs BoIS
Switzerland,BSC Young Boys
Switzerland,FC Basel 1893
Switzerland,FC Lugano
Switzerland,FC Luzern
Switzerland,FC Sion
Switzerland,FC Thun
Switzerland,FC St. Gallen
Switzerland,FC Vaduz
Switzerland,FC Zürich
Switzerland,Lausanne-Sport
Switzerland,Servette FC
Turkey,Alanyaspor
Turkey,Antalyaspor
Turkey,Fenerbahçe SK
Turkey,Başakşehir
Turkey,BB Erzurumspor
Turkey,Beşiktaş
Turkey,Çaykur Rizespor
Turkey,Denizlispor
Turkey,Fenerbahçe
Turkey,Gaziantep
Turkey,Gençlerbirliği
Turkey,Göztepe SK
Turkey,Beşiktaş JK
Turkey,Göztepe
Turkey,Hatayspor
Turkey,Karagümrük SK
Turkey,Kasimpaşa
Turkey,Kayserispor
Turkey,Konyaspor
Turkey,MKE Ankaragücü
Turkey,Gil Vicente FC
Turkey,Kasimpaşa SK
Turkey,Gençlerbirliği SK
Turkey,Gazişehir Gaziantep F.K.
Turkey,Sivasspor
Turkey,Trabzonspor
Turkey,Galatasaray SK
Turkey,Medipol Başakşehir FK
Turkey,Atiker Konyaspor
Canada,Yeni Malatyaspor
Canada,Atlanta United
Canada,Chicago Fire
Canada,Colorado Rapids
Canada,Columbus Crew SC
Canada,D.C. United
Canada,FC Cincinnati
Canada,FC Dallas
Canada,Houston Dynamo
Canada,Impact Montréal
Canada,Inter Miami CF
Canada,LA Galaxy
Canada,LAFC
Canada,Minnesota United
Canada,Nashville SC
Canada,New England
Canada,New York City FC
Canada,NY Red Bulls
Canada,Orlando City
Canada,Philadelphia
Canada,Portland Timbers
Canada,Real Salt Lake
Canada,Seattle Sounders
Canada,SJ Earthquakes
Canada,Sporting KC
Canada,Toronto FC
Canada,Orlando City SC
Canada,Los Angeles FC
Canada,Minnesota United FC
Canada,Whitecaps FC
Canada,San Jose Earthquakes
Canada,Vancouver Whitecaps FC
Canada,Seattle Sounders FC
Canada,Philadelphia Union
Canada,Sporting Kansas City
Canada,New York Red Bulls
Canada,DC United
United States,Yeni Malatyaspor
United States,Atlanta United
United States,Chicago Fire
United States,Colorado Rapids
United States,Columbus Crew SC
United States,D.C. United
United States,FC Cincinnati
United States,FC Dallas
United States,Houston Dynamo
United States,Impact Montréal
United States,Inter Miami CF
United States,LA Galaxy
United States,LAFC
United States,Minnesota United
United States,Nashville SC
United States,New England
United States,New York City FC
United States,NY Red Bulls
United States,Orlando City
United States,Philadelphia
United States,Portland Timbers
United States,Real Salt Lake
United States,Seattle Sounders
United States,SJ Earthquakes
United States,Sporting KC
United States,Toronto FC
United States,Orlando City SC
United States,Los Angeles FC
United States,Minnesota United FC
United States,Whitecaps FC
United States,San Jose Earthquakes
United States,Vancouver Whitecaps FC
United States,Seattle Sounders FC
United States,Philadelphia Union
United States,Sporting Kansas City
United States,New York Red Bulls
Usa/Canada,DC United
Japan,Vegalta Sendai
Japan,Kashima Antlers
Japan,Urawa Reds
Japan,Omiya Ardija
Japan,Kashiwa Reysol
Japan,FC Tokyo
Japan,Yokohama F. Marinos
Japan,Kawasaki Frontale
Japan,Yokohama F. Marinos
Japan,Shonan Bellmare
Japan,Ventforet Kofu
Japan,Albirex Niigata
Japan,Júbilo Iwata
Japan,Nagoya Grampus
Japan,Gamba Osaka
Japan,Vissel Kobe
Japan,Sanfrecce Hiroshima
Japan,Avispa Fukuoka 
Japan,Sagan Tosu
